MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,RingCount,HeavyAtomCount,RotatableBonds,aromatic_flag,tail_length,ionic_encoded,ethoxylate_count,pCMC
358.52,2.3385999999999996,66.43,0.0,4.0,0.0,23.0,17.0,0,17,0,1,3.8
372.54699999999997,2.7287,66.43,0.0,4.0,0.0,24.0,18.0,0,18,0,1,4.1
272.33599999999996,0.38810000000000056,66.43,0.0,4.0,0.0,18.0,12.0,0,12,0,1,2.02
304.493,0.38810000000000056,66.43,0.0,4.0,0.0,18.0,12.0,0,12,0,1,2.15
283.43399999999997,3.760300000000001,102.93,1.0,4.0,0.0,18.0,12.0,0,12,0,1,2.1
370.53099999999995,2.5047000000000006,66.43,0.0,4.0,0.0,24.0,17.0,0,18,0,1,3.8
222.30399999999997,-0.33879999999999866,40.129999999999995,0.0,2.0,0.0,15.0,10.0,0,12,0,1,2.3
250.35799999999995,0.4414000000000007,40.129999999999995,0.0,2.0,0.0,17.0,12.0,0,14,0,1,2.82
278.4119999999999,1.2215999999999998,40.129999999999995,0.0,2.0,0.0,19.0,14.0,0,16,0,1,3.05
306.46599999999995,2.0017999999999994,40.129999999999995,0.0,2.0,0.0,21.0,16.0,0,18,0,1,3.3
320.55799999999994,1.7777999999999994,40.129999999999995,0.0,2.0,0.0,21.0,15.0,0,18,0,1,2.92
304.44999999999993,1.7777999999999994,40.129999999999995,0.0,2.0,0.0,21.0,15.0,0,18,0,1,3.0
288.4069999999999,1.163699999999999,40.129999999999995,0.0,2.0,0.0,20.0,13.0,0,17,0,1,2.75
320.449,0.7486000000000008,60.36,1.0,3.0,0.0,22.0,15.0,0,18,0,3,2.6
334.45700000000005,1.6679999999999995,57.2,0.0,3.0,1.0,22.0,11.0,1,11,0,0,2.92
348.48400000000004,2.0580999999999996,57.2,0.0,3.0,1.0,23.0,12.0,1,12,0,0,3.2
208.21399999999997,-1.7884599999999984,57.2,0.0,3.0,1.0,13.0,1.0,1,1,0,0,0.1
222.24099999999996,-1.281899999999999,57.2,0.0,3.0,1.0,14.0,2.0,1,3,0,0,0.25
376.49100000000004,0.42130000000000223,84.89,0.0,6.0,0.0,24.0,18.0,0,12,0,5,3.0
404.54500000000013,1.2015000000000013,84.89,0.0,6.0,0.0,26.0,20.0,0,14,0,5,3.4
330.422,-0.0002999999999986347,83.5,0.0,5.0,0.0,21.0,13.0,0,12,0,2,3.1
343.46500000000003,-0.08509999999999707,77.51,0.0,4.0,0.0,22.0,13.0,0,12,0,0,3.25
293.383,-0.8803999999999967,60.44,0.0,3.0,0.0,20.0,12.0,0,12,0,1,2.9
498.5460000000002,-4.454499999999999,142.09,0.0,9.0,0.0,32.0,21.0,0,12,0,7,4.0
444.56600000000043,1.1017000000000023,109.8,0.0,7.0,0.0,29.0,18.0,0,8,0,4,2.6
282.424,2.3316000000000003,60.69,3.0,3.0,3.0,20.0,1.0,0,15,0,6,1.92
316.41700000000003,-0.6299999999999972,60.36,1.0,3.0,3.0,22.0,2.0,0,16,0,3,2.52
467.60400000000027,-0.967499999999996,126.76,3.0,6.0,3.0,31.0,7.0,0,17,0,4,2.3
417.52200000000016,-1.7627999999999948,109.69000000000001,3.0,5.0,3.0,29.0,6.0,0,17,0,5,2.22
431.095,3.4866000000000015,76.63,1.0,2.0,0.0,26.0,6.0,0,8,0,1,1.6
472.10100000000006,0.8672000000000017,57.2,0.0,3.0,0.0,27.0,6.0,0,7,0,0,2.1
224.18599999999998,-0.7230999999999976,0.0,0.0,0.0,0.0,11.0,5.0,0,6,1,0,0.07
252.24,0.057100000000001705,0.0,0.0,0.0,0.0,13.0,7.0,0,8,1,0,0.6
280.294,0.8373000000000008,0.0,0.0,0.0,0.0,15.0,9.0,0,10,1,0,1.19
308.34799999999996,1.6175000000000002,0.0,0.0,0.0,0.0,17.0,11.0,0,12,1,0,1.82
